,ResponseId,Informed consent,Age,Gender,Continent of residence,Understanding of sustainability,Concerned about wasting resources,Socially responsible person,Prefer sustainability to conveniency,Willingness to make the world a better place,Clothing shopping frequencies,Factors that influence my shopping decisions,Needs and desires,Understanding of ethical fashion,Own sustainable clothing,Well informed on sustainable clothing,Impact of sustainble clothing on the world,Ability to afford sustainable clothing,Intention to buy sustainable clothing within the next 12 months
2576,R_3dQaGF0CPbE0d99,Yes,22-39,Female,North America,Model that can exist and last long term  without over exploiting resources and people ,Mostly not true,Neutral,Mostly not true,Very important,Monthly,Price Fit and style ,Items of higher quality that fit and I knew harmed no one to make them,Clothing that does little harm to make ,Yes,Disagree,Mostly true,Strongly agree,1
2577,R_3IRcOa5JZQP5chg,Yes,22-39,Female,North America,"Positive and low or no negative impact to environment, ability to last for a long time, responsible use of materials and natural resources including human capital (labor).",TRUE,Mostly true,TRUE,Important,Every 3 months,Will this be a piece of clothing that will last me for a long time?,"Less ""fashion"" and more everyday products that I will actually where to class or to the store.","Clothing that is made from materials that are natural, reusable, long lasting and recyclable. Clothing that takes into account the energy it takes to make it, and Human Resources.",Yes,Disagree,TRUE,Neutral,1
2578,R_1K6HMNEC5Aojjz6,Yes,39-52,Female,North America,It makes no negative net impact on the environment ,Mostly true,Neutral,Not true,Important,Every 6 months,Fit,Flattering,Products that do not hurt the environment ,Maybe/Not sure,Neutral,Mostly true,Neutral,1
2579,R_1QF3VAa4Fhyi5sX,Yes,22-39,Male,Europe,"I define sustainability as doing things in a way that means it can be continued more or less indefinitely. A way of doing things that does not result in running out of positives, or break positives. ",TRUE,Mostly true,Mostly true,Important,Every 3 months,how it looks on me,"Stylish clothing that is ethically made, but cost same as normal brands.","Clothing that is made without damaging the world, and that can be continued to be produced for a very long time without having a negative impact.",Yes,Agree,Mostly true,Agree,1
2582,R_3jTsA3oZVSi6dln,Yes,52-70,Female,Asia,"Produced in a way that generates no waste product that will have a long term negative impact on the environment, whether during the production process or after being discarded",TRUE,Mostly true,Mostly true,Important,Yearly,A combination of factors,Something else than whatever fashion guru are dictating that year,Produced ethically and with minimal damage to the environement,Yes,Strongly disagree,Mostly true,Agree,1
2583,R_1qWM4fg7zfZx4DS,Yes,Under 22,Male,Australia,"not fossil fuels, reusing and recycling materials ",Mostly true,Neutral,Mostly not true,Important,Monthly,How it fits,Something sustainable but easy to find/not ovepriced and looks good. ,Made with ethical conditions for workers,Maybe/Not sure,Disagree,TRUE,Neutral,1
2591,R_3PttE4wTcgNoV9D,Yes,Under 22,Female,Europe,,TRUE,TRUE,TRUE,Important,Every 3 months,Where it was made ie. Not in a sweatshop ,,,Maybe/Not sure,Disagree,TRUE,Neutral,1
2594,R_2aLftS5DvD9zkGw,Yes,Under 22,Female,Europe,"I define ""sustainability"" with the word RESPECT because, in my opinion, to be soustanibale you need to respect everyone and everything, from humas to plants.",Not true,Neutral,Mostly true,Very important,Monthly,"The convenience, a good price, for a good clothes, that need to be soustanible","Thing that I like, tha need to be soustanible and beautiful, but a good price too",Respect,Yes,Disagree,TRUE,Neutral,1
2595,R_suFRULhqV7NCqjf,Yes,Under 22,Female,Europe,It's about ecology and how the human societies will continue to live and develop by being more responsible of heir environment and ethic,TRUE,Mostly not true,TRUE,Important,Monthly,,,,Yes,Disagree,TRUE,Neutral,1
2601,R_2pKKfeGunPCoJq9,Yes,Under 22,Female,North America,"A process that doesnt have a big environmental impact and can be continued indefinitely
",TRUE,Neutral,Mostly true,Important,Monthly,Look,Cute clothes that last long n look good,ethical and green,Maybe/Not sure,Disagree,TRUE,Neutral,1
2613,R_3iVvzCrmaGMsNxN,Yes,Under 22,Male,North America,The practice of manufacturing products with resources that do not leave or leave a minimal negative environmental impact.,Mostly true,Neutral,Mostly true,Important,Monthly,If I need the products I'm interested in buying; if I can do without it. ,"Eco-friendly, and affordable alternatives to the styles of clothing I'm interested in buying. ","Clothing that has not been produced through unhealthy or wasteful methods, and has been made from sustainable materials. ",Maybe/Not sure,Neutral,TRUE,Agree,1
2614,R_3keb7V50rK4o8mK,Yes,22-39,Female,North America,"Renewable resources, clearly planned recyclability, and materials that don't deteriorate quickly.",TRUE,Mostly true,TRUE,Very important,Monthly,how much to spend on a given item considering its sourcing and my likely use of it,"easily available material source information (is rayon from bamboo, was it processed with sulfides), material care information, information on expected wear life (time before fabric develops holes or staining under normal/low-impact wear), where the fabric was produced, whether synthetics were obtained from renewable sources","clothing made from renewably sourced plant-based fabric with eco-friendly production, OR sheep-to-sweater woollens",Yes,Disagree,TRUE,Disagree,1
2615,R_AFI3yx40BIa0kM1,Yes,22-39,Female,North America,producing products in a way that limits effects on the environment and aids workers making them not keeping them in a cycle of poverty ,TRUE,Mostly true,TRUE,Important,Every 3 months,"
fit and quality",More sustainable and fair trade products that marketed to and made for different styles. ,limits effects on the earth,Yes,Strongly disagree,TRUE,Neutral,1
2616,R_1igkOWUbgJVlvKc,Yes,22-39,Male,North America,"A product that doesn't deplete or overuse it's  means of production, i.e workers, natural resources. ",Mostly true,Neutral,Mostly true,Important,Every 6 months,It's usefulness to me ,Cheap sustainable clothing that is functional but stylish ,clothes that don't deplete or overuse it's means of production and is durable ,Yes,Strongly disagree,TRUE,Agree,1
2617,R_31nEE3dKLSip7hk,Yes,39-52,Female,Australia,"A system that is able to support itself, not cause any negative impact",TRUE,TRUE,Mostly true,Very important,Monthly,"How it looks on me, if it fits and is fit for purpose, is it durable",Everything I want under one roof,"Fashion that is well designed and made responsibly,  from low impact materials and by sewers who are paid living wages",Yes,Disagree,TRUE,Neutral,1
2618,R_OwfI1O2bM6DhN7P,Yes,22-39,Female,North America,"The act of sourcing, creating, and scaling a product in a way that doesn't deplete natural resources or force labor to work in unsafe conditions or for unlivable wages.",TRUE,Mostly true,Mostly true,Important,Every 3 months,Whether it fits into my lifestyle,Things that fit really well more easily.,"Clothing made by people paid fairly, in good working conditions, and out of responsibly sourced materials, organic if possible.",Yes,Agree,Mostly true,Agree,1
2619,R_U9gjnhVRm8maT1D,Yes,Under 22,Female,Australia,Doing things now that don't detriment the future,TRUE,TRUE,TRUE,Important,Monthly,Ask myself if I need it,Classic pieces that go with everything,Clothing that doesn't feel guilty,Yes,Strongly agree,Mostly true,Disagree,1
2620,R_28B5wl5rpPaAj0v,Yes,22-39,Female,Europe,Standards.,TRUE,Mostly true,TRUE,Neutral,Every 6 months,quality,"Clothes that fit, more sizes, dresses and skirts with pockets",quality clothing that will last for years to come,Yes,Neutral,TRUE,Disagree,1
2621,R_2tqUHp74iSheJfW,Yes,Under 22,Female,North America,I think the def is not using more resources than you return/replenish,TRUE,Not true,Mostly not true,Very important,Monthly,How cute it is :(,Cheap sustainable clothes,Clothes that don't violate human rights or cost the environment ,Maybe/Not sure,Disagree,TRUE,Strongly agree,0
2622,R_25EFEUHYCdjmlj5,Yes,39-52,Female,North America,a circular model where consideration is taken for minimal or zero impact environmentally and socially.,TRUE,TRUE,TRUE,Very important,Every 6 months,do i really need it?,accessible tools to understand the impacts of the brand / garment i am considering.,apparel that's been designed and produced with social and environmental impacts in mind.  all parts of the supply chain must be considered.,Yes,Agree,TRUE,Disagree,1
2623,R_2bKsQoNvfJImnHv,Yes,22-39,Female,Europe,caring for long-term living of the humans and animals on planet earth,TRUE,Mostly true,Mostly true,Very important,Monthly,,athleisure that can also be worn at work. versatile pieces between active and work wear,"clothing produced with fair trade conditions, ideally with low impact on the planet",Yes,Disagree,Mostly true,Neutral,1
2624,R_1ouW0ShSAiww81J,Yes,Under 22,Female,Europe,"Products created with workers' and the planet's safety, future and conditions in mind. ",Mostly true,Mostly true,TRUE,Very important,Monthly,Whether I'll use it and if it's made under ethical conditions. ,More transparency and direct links to where the clothes are made. ,"Clothing that have been made by workers that are treated well, paid at least living wage and are subject to worker's rights. ",Yes,Strongly disagree,TRUE,Disagree,1
2625,R_3O1GktgN4snScfc,Yes,22-39,Female,North America,"Ethical practices that are focused on providing products which meet a consumer's needs, while being conscious of the environmental, people, and labor related impacts of a product, working to balance any negative effects therein.",TRUE,TRUE,Mostly true,Very important,Weekly,Style,Higher quality fabrics,"Clothing with little waste, made by people who are given proper wages/jobs/respect, that will last me a long time.",Yes,Strongly disagree,TRUE,Strongly agree,1
2626,R_2EGg51xqG6LRfaE,Yes,39-52,Female,North America,Using resources conservatively and in a way that leaves the world a better place for future generations. ,TRUE,Mostly true,Mostly true,Very important,Yearly,Do I really need it? I'm intentional about purchasing clothes and I hate waste. ,"Well-made, classic styles made with natural fibers that will stand the test of time and last for years. ","Clothing that is made ethically, responsibly and designed to last. ",Maybe/Not sure,Disagree,Mostly true,Neutral,0
2627,R_3mgbsR6dM3n5wHH,Yes,Under 22,Male,Australia,"Living, consuming and making decisions to limit the environmental impact on the world so that this generation and the generations to come can enjoy a healthy world and lifestyle.",TRUE,Mostly true,TRUE,Very important,Monthly,The longevity of the piece of clothing,More ecofriendly fabrics and brands. ,clothes that do not have a negative affect on anyone or the world,Yes,Neutral,Mostly true,Disagree,1
2628,R_T5cId4ewONWvpbX,Yes,22-39,Female,Europe,Ecology and lack of exploitation of the workers.,Mostly true,Mostly true,TRUE,Very important,Every 6 months,,,,Maybe/Not sure,Strongly disagree,Mostly true,Neutral,1
2629,R_31RSGMRznu7PQbe,Yes,Under 22,Female,Europe,The fact that a certain activity can be done over and over again for a long period of time because it is not damaging to  the environment (eco-friendly) or the people carrying it out (ethical). Sorry for my english!,TRUE,Mostly true,TRUE,Very important,Every 6 months,whether i really need the article of clothing,Fairly priced basics shipped worldwide!,It was time it ,Yes,Strongly disagree,TRUE,Strongly agree,1
2630,R_2fIEPtIkow8GMMC,Yes,Under 22,Female,North America,Using resources in a way that does not degrade the environment ,TRUE,TRUE,Neutral,Very important,Every 3 months,Does it fit my style and do I really need it ,Affordable ethical fashion ,Clothing that is made in an environmentally conscious way ,Yes,Agree,TRUE,Neutral,1
2631,R_1eY993zlYq84wPr,Yes,22-39,Female,Europe,"A lifestyle based on conscious choices when it comes to consuming goods (food, retail, appliances, etc.).",TRUE,Mostly true,Mostly true,Very important,Every 6 months,"First, I look for second hand options since I cannot always afford sustainable choices. Then, I look online for brands that produce in the EU (mostly shoes, since I usually get the clothes I need on second hand stores).",The country in which it was made. A seal that tells me how this piece of clothing was made regarding working conditions and pollution (chemicals used and discarding of them).,"Clothing made in regular working conditions, in the least polluting way, with materials that didn't harm the environment nor the workers who handled them",Yes,Neutral,TRUE,Agree,1
